更新时间,#genre#
CCTV12,https://stream1.freetv.fun/ipv6-cctv12-57.m3u8$[BD]cctv12
CCTV12,https://stream1.freetv.fun/ipv6-cctv12-59.m3u8$[BD]cctv12
CCTV13,https://stream1.freetv.fun/cctv-13-13.m3u8$[BD]cctv-13
CCTV13,https://stream1.freetv.fun/cctv-13-14.m3u8$[BD]cctv-13
CCTV13,https://stream1.freetv.fun/cctv-13-2.m3u8$[BD]cctv-13_hd
CCTV13,https://stream1.freetv.fun/cctv-13-5.m3u8$[BD]cctv-13
CCTV13,https://stream1.freetv.fun/cctv-13-9.m3u8$[BD]cctv-13
CCTV13,https://stream1.freetv.fun/cctv-13gao-qing-4.ctv$[BD]cctv-13高清
CCTV13,https://stream1.freetv.fun/cctv-13xin-wen-4.m3u8$[BD]cctv-13新闻
CCTV13,https://stream1.freetv.fun/cctv-13xin-wen-5.m3u8$[BD]cctv-13新闻
CCTV13,https://stream1.freetv.fun/cctv-hd-13-1.ctv$[BD]cctv（hd）13
CCTV13,https://stream1.freetv.fun/cctv13-13.ctv$[BD]cctv13
CCTV13,https://stream1.freetv.fun/cctv13-2.m3u8$[BD]cctv13
CCTV13,https://stream1.freetv.fun/cctv13-20.m3u8$[BD]cctv13
CCTV13,https://stream1.freetv.fun/cctv13-21.ctv$[BD]cctv13
CCTV13,https://stream1.freetv.fun/cctv13-22.m3u8$[HD]cctv13
CCTV13,https://stream1.freetv.fun/cctv13-24.m3u8$[BD]cctv13
CCTV13,https://stream1.freetv.fun/cctv13-25.m3u8$[BD]cctv13
CCTV13,https://stream1.freetv.fun/cctv13-26.m3u8$[HD]cctv13
CCTV13,https://stream1.freetv.fun/cctv13-3.ctv$[BD]cctv13
CCTV13,https://stream1.freetv.fun/cctv13-33.ctv$[BD]cctv13
CCTV13,https://stream1.freetv.fun/cctv13-35.ctv$[BD]cctv13
CCTV13,https://stream1.freetv.fun/cctv13-37.m3u8$[BD]cctv13
CCTV13,https://stream1.freetv.fun/cctv13-4.ctv$[BD]cctv13
CCTV13,https://stream1.freetv.fun/cctv13-40.ctv$[BD]cctv13
CCTV13,https://stream1.freetv.fun/cctv13-43.m3u8$[BD]cctv13
CCTV13,https://stream1.freetv.fun/cctv13-44.ctv$[BD]cctv13
CCTV13,https://stream1.freetv.fun/cctv13-45.m3u8$[BD]cctv13
CCTV13,https://stream1.freetv.fun/cctv13-47.ctv$[BD]cctv13
CCTV13,https://stream1.freetv.fun/cctv13-48.m3u8$[BD]cctv13
CCTV13,https://stream1.freetv.fun/cctv13-49.m3u8$[BD]cctv13
CCTV13,https://stream1.freetv.fun/cctv13-5.ctv$[BD]cctv13
CCTV13,https://stream1.freetv.fun/cctv13-50.m3u8$[BD]cctv13
CCTV13,https://stream1.freetv.fun/cctv13-51.m3u8$[BD]cctv13
CCTV13,https://stream1.freetv.fun/cctv13-52.ctv$[BD]cctv13
CCTV13,https://stream1.freetv.fun/cctv13-53.m3u8$[BD]cctv13
CCTV13,https://stream1.freetv.fun/cctv13-54.ctv$[BD]cctv13
CCTV13,https://stream1.freetv.fun/cctv13-55.ctv$[BD]cctv13
CCTV13,https://stream1.freetv.fun/cctv13-56.ctv$[BD]cctv13
CCTV13,https://stream1.freetv.fun/cctv13-58.m3u8$[BD]cctv13
CCTV13,https://stream1.freetv.fun/cctv13-59.ctv$[BD]cctv13
CCTV13,https://stream1.freetv.fun/cctv13-60.m3u8$[BD]cctv13
CCTV13,https://stream1.freetv.fun/cctv13-61.m3u8$[BD]cctv13
CCTV13,https://stream1.freetv.fun/cctv13-63.ctv$[BD]cctv13
CCTV13,https://stream1.freetv.fun/cctv13-64.ctv$[BD]cctv13
CCTV13,https://stream1.freetv.fun/cctv13-65.m3u8$[BD]cctv13
CCTV13,https://stream1.freetv.fun/cctv13-67.ctv$[BD]cctv13
CCTV13,https://stream1.freetv.fun/cctv13-68.m3u8$[BD]cctv13
CCTV13,https://stream1.freetv.fun/cctv13-69.ctv$[BD]cctv13
CCTV13,https://stream1.freetv.fun/cctv13-70.ctv$[BD]cctv13
CCTV13,https://stream1.freetv.fun/cctv13-xin-wen-11.m3u8$[BD]cctv13-新闻
CCTV13,https://stream1.freetv.fun/cctv13-xin-wen-12.m3u8$[BD]cctv13-新闻
CCTV13,https://stream1.freetv.fun/cctv13-xin-wen-16.m3u8$[BD]cctv13-新闻
